time,seconds_elapsed,z,y,x,,z,y,x,,,t,z,y,x
1.68301E+18,0.761399658,-0.135499999,0.106299996,-0.868399978,,1.077000022,-0.273000002,9.743499756,,,37,0.941500023,-0.166700006,8.875099778
1.68301E+18,0.781399658,-0.210599989,0.357499987,-0.741899967,,1.063799977,-0.288800001,9.744400024,,,38,0.853199989,0.068699986,9.002500057
1.68301E+18,0.801399658,-1.023199916,0.573799968,-0.713099957,,1.052600026,-0.309100002,9.744999886,,,39,0.02940011,0.264699966,9.031899929
1.68301E+18,0.821399658,0.173799992,0.730399966,-0.672299981,,1.061699986,-0.328299999,9.74339962,,,40,1.235499978,0.402099967,9.071099639
1.68301E+18,0.841399658,-0.136299998,0.538599968,-0.700199962,,1.067999959,-0.352200001,9.74189949,,,41,0.931699961,0.186399966,9.041699529
1.68301E+18,0.861399658,0.157099992,0.495099992,-0.620700002,,1.068599939,-0.377399981,9.74090004,,,42,1.225699931,0.117700011,9.120200038
1.68301E+18,0.881399658,0.224099994,0.409099996,-0.568799973,,1.089900017,-0.389499992,9.737999916,,,43,1.31400001,0.019600004,9.169199944
1.68301E+18,0.901399658,-0.289900005,0.621299982,-1.109399915,,1.084200025,-0.376100004,9.739199638,,,44,0.79430002,0.245199978,8.629799724
1.68301E+18,0.921399658,-0.615099967,0.953499973,-1.886099935,,1.076099992,-0.345499992,9.741299629,,,45,0.461000025,0.60799998,7.855199695
1.68301E+18,0.941399658,-1.10439992,0.961999953,-2.485199928,,1.074999928,-0.324599981,9.742099762,,,46,-0.029399991,0.637399971,7.256899834
1.68301E+18,0.961399658,-1.07889998,0.830799997,-2.328299999,,1.07889998,-0.31099999,9.742099762,,,47,0,0.519800007,7.413799763
1.68301E+18,0.981399658,-1.192099929,0.580599964,-2.230099916,,1.084200025,-0.296200007,9.741999626,,,48,-0.107899904,0.284399956,7.51189971
1.68301E+18,1.001399658,-0.92689997,0.328599989,-1.896099925,,1.093699932,-0.279599994,9.741399765,,,49,0.166799963,0.048999995,7.84529984
1.68301E+18,1.021399658,-0.667999983,0.272599995,-1.180799961,,1.089699984,-0.272599995,9.742099762,,,50,0.421700001,0,8.561299801
1.68301E+18,1.041399658,-0.534200013,0.263699979,-0.839399993,,1.073499918,-0.273499995,9.743800163,,,51,0.539299905,-0.009800017,8.90440017
1.68301E+18,1.061399658,-0.381099999,0.412699997,-1.037199974,,1.057699919,-0.275399983,9.745499611,,,52,0.67659992,0.137300014,8.708299637
1.68301E+18,1.081399658,-0.248899996,0.473799974,-1.126899958,,1.043300033,-0.277700007,9.746999741,,,53,0.794400036,0.196099967,8.620099783
1.68301E+18,1.101399658,-0.130199999,0.286599994,-0.803200006,,1.042199969,-0.286599994,9.746799469,,,54,0.911999971,0,8.943599463
1.68301E+18,1.121399658,0.125200003,-0.093399994,0.089099996,,1.041700006,-0.288899988,9.746799469,,,55,1.166900009,-0.382299982,9.835899465
1.68301E+18,1.141399658,0.388999999,-0.556299984,1.636899948,,1.023000002,-0.296700001,9.748600006,,,56,1.412,-0.852999985,11.38549995
1.68301E+18,1.161401367,0.623899996,-0.744799972,3.174399853,,0.994099975,-0.324000001,9.750699997,,,57,1.617999971,-1.068799973,12.92509985
1.68301E+18,1.181399658,0.861399949,-0.777399957,4.270800114,,0.962499976,-0.359999985,9.752599716,,,58,1.823899925,-1.137399942,14.02339983
1.68301E+18,1.201399658,0.924799979,-0.4454,3.759199858,,0.938299954,-0.378199995,9.754300117,,,59,1.863099933,-0.823599994,13.51349998
1.68301E+18,1.221399658,1.11619997,-0.539099991,2.631700039,,0.943099976,-0.372799993,9.75399971,,,60,2.059299946,-0.911899984,12.38569975
1.68301E+18,1.241401367,1.387499928,-0.953599989,2.202199936,,0.975799978,-0.340799987,9.751999855,,,61,2.363299906,-1.294399977,11.95419979
1.68301E+18,1.261399658,1.497799993,-1.524299979,2.557699919,,1.012599945,-0.299600005,9.749599457,,,62,2.510399938,-1.823899984,12.30729938
1.68301E+18,1.281399658,1.050499916,-1.720099926,2.99000001,,1.028399944,-0.270500004,9.748799324,,,63,2.07889986,-1.99059993,12.73879933
1.68301E+18,1.301399658,1.217399955,-1.666799903,2.48059988,,1.037999988,-0.255199999,9.748199463,,,64,2.255399942,-1.921999902,12.22879934
1.68301E+18,1.321399658,1.274500012,-1.424399972,1.874599934,,1.059399962,-0.242599994,9.746199608,,,65,2.333899975,-1.666999966,11.62079954
1.68301E+18,1.341399658,0.845200002,-1.389099956,1.259699941,,1.086699963,-0.238699988,9.743299484,,,66,1.931899965,-1.627799943,11.00299942
1.68301E+18,1.361399658,0.510899961,-1.128000021,0.596199989,,1.116899967,-0.234999999,9.739999771,,,67,1.627799928,-1.36300002,10.33619976
1.68301E+18,1.381401367,0.512699962,-0.879799962,0.165699989,,1.124899983,-0.238099992,9.738900185,,,68,1.637599945,-1.117899954,9.904600173
1.68301E+18,1.401399658,0.653999984,-0.844500005,-0.342199981,,1.140599966,-0.243999988,9.736999512,,,69,1.79459995,-1.088499993,9.394799531
1.68301E+18,1.421399658,0.936399996,-0.819999993,-0.485499978,,1.171999931,-0.248899996,9.733099937,,,70,2.108399928,-1.068899989,9.247599959
1.68301E+18,1.441399658,1.028800011,-0.598899961,-0.539600015,,1.207000017,-0.263999999,9.728499413,,,71,2.235800028,-0.862899959,9.188899398
1.68301E+18,1.461401367,0.748699963,-0.465899974,-0.779999971,,1.241999984,-0.279300004,9.723599434,,,72,1.990699947,-0.745199978,8.943599463
1.68301E+18,1.481399658,0.276299983,-0.414499998,-0.806299984,,1.263199925,-0.291500002,9.720499992,,,73,1.539499909,-0.706,8.914200008
1.68301E+18,1.501399658,-0.108099997,-0.324799985,-1.205500007,,1.28489995,-0.292999983,9.717599869,,,74,1.176799953,-0.617799968,8.512099862
1.68301E+18,1.521401367,-0.297099978,-0.3495,-1.261500001,,1.307199955,-0.287799984,9.714799881,,,75,1.010099977,-0.637299985,8.45329988
1.68301E+18,1.541399658,-0.2245,-0.353799999,-1.328099966,,1.322899938,-0.283499986,9.712800026,,,76,1.098399937,-0.637299985,8.38470006
