time,seconds_elapsed,z,y,x
1682999359265056500,0.037056396484375,2.519399881362915,-0.3432999849319458,9.471199989318848
1682999359285059600,0.0570595703125,2.519399881362915,-0.3432999849319458,9.471199989318848
1682999359305062700,0.077062744140625,2.519399881362915,-0.3432999849319458,9.471199989318848
1682999359325056500,0.097056396484375,2.4038000106811523,-0.6962999701499939,9.481900215148926
1682999359345058000,0.11705810546875,2.4054999351501465,-0.6965999603271484,9.481399536132812
1682999359365058000,0.13705810546875,2.422299861907959,-0.6929000020027161,9.477399826049805
1682999359385058000,0.15705810546875,2.451200008392334,-0.6649999618530273,9.472000122070312
1682999359405058000,0.17705810546875,2.4602999687194824,-0.6696999669075012,9.46929931640625
1682999359425056500,0.197056396484375,2.45989990234375,-0.6728000044822693,9.469200134277344
1682999359445058000,0.21705810546875,2.4570999145507812,-0.5388000011444092,9.478499412536621
1682999359465056500,0.237056396484375,2.4442999362945557,-0.5180999636650085,9.48289966583252
1682999359485058000,0.25705810546875,2.4275999069213867,-0.4722999930381775,9.48960018157959
1682999359505058000,0.27705810546875,2.400899887084961,-0.44999998807907104,9.497499465942383
1682999359525056500,0.297056396484375,2.3690998554229736,-0.4245999753475189,9.506599426269531
1682999359545058000,0.31705810546875,2.309299945831299,-0.36399999260902405,9.523799896240234
1682999359565058000,0.33705810546875,2.2523000240325928,-0.3028999865055084,9.539599418640137
1682999359585058000,0.35705810546875,2.2235000133514404,-0.259799987077713,9.547699928283691
1682999359605056500,0.377056396484375,2.181299924850464,-0.2175000011920929,9.558499336242676
1682999359625058000,0.39705810546875,2.1161999702453613,-0.16849999129772186,9.573999404907227
1682999359645058000,0.41705810546875,2.0371999740600586,-0.10089999437332153,9.592100143432617
1682999359665056500,0.437056396484375,1.9442999362945557,0.0005999999702908099,9.611899375915527
1682999359685058000,0.45705810546875,1.8980000019073486,0.039799999445676804,9.621099472045898
1682999359705056500,0.477056396484375,1.8471999168395996,0.07339999824762344,9.630799293518066
1682999359725056500,0.497056396484375,1.8070999383926392,0.10109999775886536,9.638099670410156
1682999359745056500,0.517056396484375,1.7946999073028564,0.13169999420642853,9.64009952545166
1682999359765058000,0.53705810546875,1.8005999326705933,0.17219999432563782,9.638299942016602
1682999359785058000,0.55705810546875,1.8119999170303345,0.204599991440773,9.635600090026855
1682999359805058000,0.57705810546875,1.820199966430664,0.24229998886585236,9.633099555969238
1682999359825056500,0.597056396484375,1.8278999328613281,0.282399982213974,9.630599975585938
1682999359845058000,0.61705810546875,1.845099925994873,0.30219998955726624,9.626699447631836
1682999359865058000,0.63705810546875,1.8598999977111816,0.3003000020980835,9.623899459838867
1682999359885058000,0.65705810546875,1.8740999698638916,0.28209999203681946,9.621699333190918
1682999359905058000,0.67705810546875,1.878499984741211,0.2549000084400177,9.621600151062012
1682999359925059600,0.6970595703125,1.882599949836731,0.22599999606609344,9.621500015258789
1682999359945058000,0.71705810546875,1.8911999464035034,0.19349999725818634,9.620599746704102
1682999359965056500,0.737056396484375,1.9017999172210693,0.1680999994277954,9.618999481201172
1682999359985058000,0.75705810546875,1.9167999029159546,0.1573999971151352,9.61609935760498
1682999360005058000,0.77705810546875,1.9287999868392944,0.15719999372959137,9.613699913024902
1682999360025056500,0.797056396484375,1.9408999681472778,0.1598999947309494,9.611299514770508
1682999360045058000,0.81705810546875,1.9566999673843384,0.16529999673366547,9.607999801635742
1682999360065058000,0.83705810546875,1.9781999588012695,0.16869999468326569,9.603499412536621
1682999360085056500,0.857056396484375,1.9950000047683716,0.1647000014781952,9.600099563598633
1682999360105058000,0.87705810546875,2.00600004196167,0.1525000035762787,9.597999572753906
1682999360125058000,0.89705810546875,2.0070998668670654,0.13239999115467072,9.598099708557129
1682999360145058000,0.91705810546875,2.0058999061584473,0.1070999950170517,9.598699569702148
1682999360165056500,0.937056396484375,2.0155999660491943,0.08320000022649765,9.59689998626709
1682999360185058000,0.95705810546875,2.0269999504089355,0.06269999593496323,9.594599723815918
1682999360205058000,0.97705810546875,2.038300037384033,0.04010000079870224,9.592299461364746
1682999360225056500,0.997056396484375,2.0636000633239746,0.02630000002682209,9.586999893188477
1682999360245056500,1.017056396484375,2.0760998725891113,0.01860000006854534,9.58430004119873
1682999360265058000,1.03705810546875,2.0645999908447266,-0.006000000052154064,9.586799621582031
1682999360285058000,1.05705810546875,2.055500030517578,-0.038599997758865356,9.588699340820312
1682999360305058000,1.07705810546875,2.0597000122070312,-0.06629999727010727,9.587599754333496
1682999360325056500,1.097056396484375,2.0710999965667725,-0.09769999980926514,9.58489990234375
1682999360345058000,1.11705810546875,2.079200029373169,-0.13459999859333038,9.5826997756958
1682999360365058000,1.13705810546875,2.083699941635132,-0.16489998996257782,9.581199645996094
1682999360385058000,1.15705810546875,2.097599983215332,-0.1841999888420105,9.577899932861328
1682999360405058000,1.17705810546875,2.121500015258789,-0.20719999074935913,9.572099685668945
1682999360425058000,1.19705810546875,2.13349986076355,-0.2502000033855438,9.568399429321289
1682999360445058000,1.21705810546875,2.130499839782715,-0.3131999969482422,9.56719970703125
1682999360465058000,1.23705810546875,2.1213998794555664,-0.366599977016449,9.567399978637695
1682999360485058000,1.25705810546875,2.1161999702453613,-0.39489999413490295,9.567399978637695
1682999360505058000,1.27705810546875,2.121500015258789,-0.4009999930858612,9.565999984741211
1682999360525056500,1.297056396484375,2.1294000148773193,-0.399399995803833,9.564299583435059
1682999360545058000,1.31705810546875,2.131700038909912,-0.40070000290870667,9.563699722290039
1682999360565058000,1.33705810546875,2.1333999633789062,-0.40789997577667236,9.562999725341797
