time,seconds_elapsed,z,y,x,,,z,y,x,,,t,z,y,x
1.683E+18,0.777058105,-0.036199998,0.225099996,0.134000003,,,1.928799987,0.157199994,9.613699913,,,38,1.892599989,0.382299989,9.747699916
1.683E+18,0.797056396,-0.185499996,0.183200002,-0.030199999,,,1.940899968,0.159899995,9.611299515,,,39,1.755399972,0.343099996,9.581099516
1.683E+18,0.817058105,-0.181699991,0.324900001,-0.321099997,,,1.956699967,0.165299997,9.607999802,,,40,1.774999976,0.490199998,9.286899805
1.683E+18,0.837058105,-0.16399999,0.301899999,-0.336199999,,,1.978199959,0.168699995,9.603499413,,,41,1.814199969,0.470599994,9.267299414
1.683E+18,0.857056396,-0.210099995,0.335299999,-0.0779,,,1.995000005,0.164700001,9.600099564,,,42,1.78490001,0.5,9.522199564
1.683E+18,0.877058105,-0.221199989,0.474999994,0.25759998,,,2.006000042,0.152500004,9.597999573,,,43,1.784800053,0.627499998,9.855599552
1.683E+18,0.897058105,-0.065399997,0.55399996,0.698799968,,,2.007099867,0.132399991,9.598099709,,,44,1.94169987,0.686399952,10.29689968
1.683E+18,0.917058105,0.082800001,0.589100003,1.090499997,,,2.005899906,0.107099995,9.59869957,,,45,2.088699907,0.696199998,10.68919957
1.683E+18,0.937056396,0.171199992,0.563899994,1.710099936,,,2.015599966,0.0832,9.596899986,,,46,2.186799958,0.647099994,11.30699992
1.683E+18,0.957058105,0.306899995,0.417699993,2.369400024,,,2.02699995,0.062699996,9.594599724,,,47,2.333899945,0.480399989,11.96399975
1.683E+18,0.977058105,0.629000008,0.244199991,2.597199917,,,2.038300037,0.040100001,9.592299461,,,48,2.667300045,0.284299992,12.18949938
1.683E+18,0.997056396,0.907700002,-0.202799991,2.926199913,,,2.063600063,0.0263,9.586999893,,,49,2.971300066,-0.176499991,12.51319981
1.683E+18,1.017056396,1.101199985,-0.734499991,3.644799948,,,2.076099873,0.0186,9.584300041,,,50,3.177299857,-0.715899991,13.22909999
1.683E+18,1.037058105,1.387199998,-1.258899927,3.897300005,,,2.064599991,-0.006,9.586799622,,,51,3.451799989,-1.264899927,13.48409963
1.683E+18,1.057058105,1.582700014,-1.245999932,3.07159996,,,2.055500031,-0.038599998,9.588699341,,,52,3.638200045,-1.28459993,12.6602993
1.683E+18,1.077058105,1.470600009,-1.110399961,2.15079999,,,2.059700012,-0.066299997,9.587599754,,,53,3.530300021,-1.176699959,11.73839974
1.683E+18,1.097056396,1.086499929,-1.059399962,1.408299923,,,2.071099997,-0.0977,9.584899902,,,54,3.157599926,-1.157099962,10.99319983
1.683E+18,1.117058105,0.401799977,-0.86559999,0.537699997,,,2.079200029,-0.134599999,9.582699776,,,55,2.481000006,-1.000199988,10.12039977
1.683E+18,1.137058105,-0.289099991,-0.668599963,-0.235499993,,,2.083699942,-0.16489999,9.581199646,,,56,1.79459995,-0.833499953,9.345699653
1.683E+18,1.157058105,-0.783499956,-0.727799952,-0.771499991,,,2.097599983,-0.184199989,9.577899933,,,57,1.314100027,-0.911999941,8.806399941
1.683E+18,1.177058105,-0.876100004,-0.498699993,-1.040300012,,,2.121500015,-0.207199991,9.572099686,,,58,1.245400012,-0.705899984,8.531799674
1.683E+18,1.197058105,-0.711499989,-0.328299999,-0.752200007,,,2.133499861,-0.250200003,9.568399429,,,59,1.421999872,-0.578500003,8.816199422
1.683E+18,1.217058105,-0.512399971,-0.196699992,-0.309799999,,,2.13049984,-0.313199997,9.567199707,,,60,1.618099868,-0.509899989,9.257399708
1.683E+18,1.237058105,-0.454299986,-0.241299987,-0.182399988,,,2.121399879,-0.366599977,9.567399979,,,61,1.667099893,-0.607899964,9.38499999
1.683E+18,1.257058105,-0.282299995,-0.281599998,-0.486399978,,,2.11619997,-0.394899994,9.567399979,,,62,1.833899975,-0.676499993,9.081
1.683E+18,1.277058105,-0.189599991,-0.344199985,-0.887099981,,,2.121500015,-0.400999993,9.565999985,,,63,1.931900024,-0.745199978,8.678900003
1.683E+18,1.297056396,-0.089699998,-0.345799983,-1.316900015,,,2.129400015,-0.399399996,9.564299583,,,64,2.039700016,-0.745199978,8.247399569
1.683E+18,1.317058105,-0.082099997,-0.413199991,-1.394799948,,,2.131700039,-0.400700003,9.563699722,,,65,2.049600042,-0.813899994,8.168899775
1.683E+18,1.337058105,-0.093599997,-0.405900002,-1.452899933,,,2.133399963,-0.407899976,9.562999725,,,66,2.039799966,-0.813799977,8.110099792
1.683E+18,1.357058105,-0.033199999,-0.284700006,-1.413499951,,,2.131799936,-0.421299994,9.562799454,,,67,2.098599937,-0.706,8.149299502
1.683E+18,1.377058105,-0.0088,-0.202600002,-1.072399974,,,2.117199898,-0.444499999,9.56499958,,,68,2.108399898,-0.647100002,8.492599607
1.683E+18,1.397058105,-0.0038,-0.157600001,-0.851099968,,,2.092599869,-0.469899982,9.569199562,,,69,2.088799869,-0.627499983,8.718099594
1.683E+18,1.417058105,0.227899998,-0.0244,-1.049899936,,,2.076499939,-0.485399991,9.571899414,,,70,2.304399937,-0.509799991,8.521999478
1.683E+18,1.437058105,0.381999999,-0.102199994,-1.011699915,,,2.069499969,-0.495899975,9.572899818,,,71,2.451499969,-0.598099969,8.561199903
1.683E+18,1.457058105,0.428599983,-0.255600005,-0.777199984,,,2.062199831,-0.509199977,9.573800087,,,72,2.490799814,-0.764799982,8.796600103
1.683E+18,1.477058105,0.350299984,-0.217799991,-0.455300003,,,2.052199841,-0.5176,9.575499535,,,73,2.402499825,-0.735399991,9.120199531
1.683E+18,1.497056396,0.444899976,-0.122399993,-0.319499999,,,2.045899868,-0.514999986,9.576999664,,,74,2.490799844,-0.637399979,9.257499665
1.683E+18,1.517056396,0.604099989,0.032299999,-0.544099987,,,2.053499937,-0.502999961,9.576000214,,,75,2.657599926,-0.470699962,9.031900227
1.683E+18,1.537058105,0.642199993,0.0241,-0.562299967,,,2.064399958,-0.484999985,9.57460022,,,76,2.706599951,-0.460899984,9.012300253
1.683E+18,1.557058105,0.214299992,0.206999987,-0.228599995,,,2.070499897,-0.461999983,9.574399948,,,77,2.284799889,-0.254999995,9.345799953
1.683E+18,1.577058105,0.048899997,0.0262,-0.181500003,,,2.069200039,-0.428299993,9.576199532,,,78,2.118100036,-0.402099993,9.394699529
1.683E+18,1.597056396,0.085299999,-0.132200003,0.082499996,,,2.072099924,-0.397199988,9.576899529,,,79,2.157399923,-0.529399991,9.659399524
1.683E+18,1.617058105,0.554799974,-0.356700003,0.729599953,,,2.073299885,-0.388500005,9.576999664,,,80,2.628099859,-0.745200008,10.30659962
1.683E+18,1.637058105,0.709199965,-0.412399977,0.90169996,,,2.095399857,-0.401499987,9.571700096,,,81,2.804599822,-0.813899964,10.47340006
1.683E+18,1.657058105,0.873099983,-0.15699999,1.029099941,,,2.137500048,-0.41169998,9.561999321,,,82,3.01060003,-0.568699971,10.59109926
1.683E+18,1.677058105,0.526199996,-0.272300005,1.931800008,,,2.14109993,-0.404300004,9.561499596,,,83,2.667299926,-0.676600009,11.4932996
1.683E+18,1.697058105,0.857899964,-0.199299991,3.131299973,,,2.113399982,-0.388999999,9.568200111,,,84,2.971299946,-0.58829999,12.69950008
1.683E+18,1.717058105,1.004099965,-1.823499918,4.413300037,,,2.055500031,-0.392699987,9.580699921,,,85,3.059599996,-2.216199905,13.99399996
1.683E+18,1.737058105,1.677699924,-1.660099983,4.041399956,,,2.009500027,-0.408999979,9.589799881,,,86,3.68719995,-2.069099963,13.63119984
1.683E+18,1.757058105,1.614300013,-1.089399934,2.489699841,,,1.994399905,-0.430500001,9.592000008,,,87,3.608699918,-1.519899935,12.08169985
1.683E+18,1.777058105,0.959999979,-0.645999968,0.545700014,,,2.021100044,-0.471899986,9.584499359,,,88,2.981100023,-1.117899954,10.13019937
1.683E+18,1.797056396,0.273200005,-0.811699986,-1.047699928,,,2.080299854,-0.512099981,9.569699287,,,89,2.35349986,-1.323799968,8.521999359
1.683E+18,1.817058105,-0.256199986,-0.683999956,-0.952499986,,,2.109599829,-0.522099972,9.562699318,,,90,1.853399843,-1.206099927,8.610199332
1.683E+18,1.837058105,-0.418499976,-0.666099966,-0.035499997,,,2.085700035,-0.530299962,9.567599297,,,91,1.667200059,-1.196399927,9.532099299
1.683E+18,1.857058105,-0.558099985,-0.621999979,1.059700012,,,2.019299984,-0.554699957,9.580399513,,,92,1.461199999,-1.176699936,10.64009953
1.683E+18,1.877058105,-0.610899985,-0.381300002,1.201499939,,,1.944599986,-0.560099959,9.595499992,,,93,1.333700001,-0.941399962,10.79699993
1.683E+18,1.897058105,-0.317399979,-0.20539999,0.554099977,,,1.906099916,-0.520200014,9.605500221,,,94,1.588699937,-0.725600004,10.1596002
1.683E+18,1.917058105,0.120199993,-0.305099994,0.106599994,,,1.890100002,-0.459699988,9.611700058,,,95,2.010299996,-0.764799982,9.718300052
1.683E+18,1.937058105,0.240499988,-0.379199982,-0.280699998,,,1.877599955,-0.405200005,9.616600037,,,96,2.118099943,-0.784399986,9.335900038
1.683E+18,1.957058105,-0.059499998,-0.538199961,-0.450999975,,,1.863899946,-0.383599997,9.620200157,,,97,1.804399949,-0.921799958,9.169200182
1.683E+18,1.977058105,-0.45629999,-0.378499985,-1.033100009,,,1.848799944,-0.366699994,9.623799324,,,98,1.392499954,-0.745199978,8.590699315
1.683E+18,1.997056396,-0.739499986,-0.522700012,-1.386999965,,,1.847599983,-0.349899977,9.624599457,,,99,1.108099997,-0.872599989,8.237599492
1.683E+18,2.017056396,-0.99119997,-0.466699988,-1.97299993,,,1.863999963,-0.327499986,9.622200012,,,100,0.872799993,-0.794199973,7.649200082
1.683E+18,2.037058105,-1.12559998,-0.212299988,-2.156800032,,,1.880800009,-0.307399988,9.619599342,,,101,0.755200028,-0.519699976,7.462799311
1.683E+18,2.057058105,-1.235700011,0.077399999,-1.871799946,,,1.8829,-0.31279999,9.618999481,,,102,0.647199988,-0.235399991,7.747199535
1.683E+18,2.077058105,-1.413499951,0.302399993,-1.598199964,,,1.8743999,-0.331799984,9.620100021,,,103,0.460899949,-0.029399991,8.021900058
1.683E+18,2.097056396,-1.613600016,0.415600002,-1.482999921,,,1.858799934,-0.346899986,9.622599602,,,104,0.245199919,0.068700016,8.139599681
1.683E+18,2.117058105,-1.480099916,0.389699996,-1.645099998,,,1.833199978,-0.340599984,9.627699852,,,105,0.353100061,0.049100012,7.982599854
1.683E+18,2.137058105,-0.935699999,0.25939998,-1.593199968,,,1.798699975,-0.327999979,9.634599686,,,106,0.862999976,-0.068599999,8.041399717
1.683E+18,2.157058105,-0.103399999,0.264299989,-1.306199908,,,1.760699987,-0.323100001,9.641799927,,,107,1.657299988,-0.058800012,8.335600019
1.683E+18,2.177058105,0.341800004,0.070299998,-0.864499986,,,1.707700014,-0.325299978,9.651299477,,,108,2.049500018,-0.25499998,8.78679949
1.683E+18,2.197058105,0.620999992,0.0142,-0.305000007,,,1.653999925,-0.327999979,9.660499573,,,109,2.274999917,-0.313799979,9.355499566
1.683E+18,2.217058105,0.769899964,0.277700007,0.166500002,,,1.603199959,-0.317000002,9.669499397,,,110,2.373099923,-0.039299995,9.835999399
1.683E+18,2.237058105,0.772699952,0.567299962,0.600499988,,,1.561199903,-0.302599996,9.676799774,,,111,2.333899856,0.264699966,10.27729976
1.683E+18,2.257058105,0.393899977,0.474799991,1.370800018,,,1.537899971,-0.278699994,9.681200027,,,112,1.931799948,0.196099997,11.05200005
1.683E+18,2.277058105,0.279799998,0.556599975,0.992999971,,,1.514699936,-0.223199993,9.686299324,,,113,1.794499934,0.333399981,10.67929929
1.683E+18,2.297056396,0.079499997,0.474299997,0.528299987,,,1.499199986,-0.150600001,9.690099716,,,114,1.578699984,0.323699996,10.2183997
