time,seconds_elapsed,z,y,x,,,z,y,x,,,t,z,y,x
1.68301E+18,0.049484131,0.638999999,0.070599996,0.0092,,,0.939699948,-0.256899983,9.758099556,,,1,1.578699946,-0.186299987,9.767299556
1.68301E+18,0.069485596,0.638999999,0.070599996,0.0092,,,0.939699948,-0.256899983,9.758099556,,,2,1.578699946,-0.186299987,9.767299556
1.68301E+18,0.089487061,0.638999999,0.070599996,0.0092,,,0.939699948,-0.256899983,9.758099556,,,3,1.578699946,-0.186299987,9.767299556
1.68301E+18,0.109482422,0.020499999,-0.0032,0.092399999,,,2.127099991,-0.339899987,9.567099571,,,4,2.14759999,-0.343099987,9.659499571
1.68301E+18,0.129484131,0.1373,-0.070999995,0.327999979,,,2.128000021,-0.340799987,9.5668993,,,5,2.265300021,-0.411799982,9.894899279
1.68301E+18,0.149482422,0.259000003,-0.173799992,0.280399978,,,2.133699894,-0.345799983,9.565400124,,,6,2.392699897,-0.519599974,9.845800102
1.68301E+18,0.169484131,0.377299994,-0.192399994,0.167400002,,,2.152699947,-0.356599987,9.560699463,,,7,2.529999942,-0.54899998,9.728099465
1.68301E+18,0.189484131,0.560899973,0.147699997,0.107799999,,,2.194599867,-0.343899995,9.551699638,,,8,2.75549984,-0.196199998,9.659499638
1.68301E+18,0.209482422,0.180099994,-0.0162,-0.057599999,,,2.438099861,-0.366099983,9.491600037,,,9,2.618199855,-0.382299984,9.434000038
1.68301E+18,0.229482422,-0.163900003,-0.126900002,0.100299999,,,2.399799824,-0.392699987,9.500299454,,,10,2.235899821,-0.519599989,9.600599453
1.68301E+18,0.249482422,-0.34009999,-0.0779,0.206100002,,,2.350499868,-0.402500004,9.512199402,,,11,2.010399878,-0.480400003,9.718299404
1.68301E+18,0.269482422,-0.333199978,0.195999995,0.073600002,,,2.461299896,-0.303900003,9.487799644,,,12,2.128099918,-0.107900009,9.561399646
1.68301E+18,0.289482422,-0.202299997,0.206599995,0.116099998,,,2.408799887,-0.196799994,9.504099846,,,13,2.206499889,0.009800002,9.620199844
1.68301E+18,0.309482422,-0.0359,0.430099994,0.183499992,,,2.409100056,-0.116299994,9.505399704,,,14,2.373200055,0.3138,9.688899696
1.68301E+18,0.329482422,0.177100003,0.163800001,-0.456099987,,,2.441099882,-0.0265,9.497900009,,,15,2.618199885,0.137300001,9.041800022
