time,seconds_elapsed,z,y,x,,,z,y,x,,,t,z,y,x
1.683E+18,0.759056396,0.0458,0.105399996,0.436499983,,,2.57249999,-0.527099967,9.44849968,,,37,2.618299991,-0.421699971,9.884999663
1.683E+18,0.779056396,0.432099998,0.433099985,0.523400009,,,2.568599939,-0.521299958,9.449899673,,,38,3.000699937,-0.088199973,9.973299682
1.683E+18,0.799058105,0.730399966,0.341800004,0.784799993,,,2.554699898,-0.528100014,9.453199387,,,39,3.285099864,-0.186300009,10.23799938
1.683E+18,0.819058105,0.892499983,0.375799984,0.732599974,,,2.539799929,-0.542499959,9.456399918,,,40,3.432299912,-0.166699976,10.18899989
1.683E+18,0.839056396,0.89319998,0.403400004,0.428799987,,,2.539000034,-0.550499976,9.456199646,,,41,3.432200015,-0.147099972,9.884999633
1.683E+18,0.859058105,0.65990001,0.3935,-0.142299995,,,2.566400051,-0.550399959,9.448800087,,,42,3.226300061,-0.156899959,9.306500092
1.683E+18,0.879058105,0.055099998,0.449000001,-0.545099974,,,2.602399826,-0.537299991,9.439700127,,,43,2.657499824,-0.08829999,8.894600153
1.683E+18,0.899056396,-0.325599998,0.411300004,-0.79339999,,,2.630199909,-0.519199967,9.432999611,,,44,2.304599911,-0.107899964,8.639599621
1.683E+18,0.919056396,-0.569700003,0.316599995,-0.955799997,,,2.648699999,-0.502900004,9.428699493,,,45,2.078999996,-0.186300009,8.472899497
1.683E+18,0.939058105,-0.513899982,0.267100006,-0.991899967,,,2.661599874,-0.492699981,9.425600052,,,46,2.147699893,-0.225599974,8.433700085
1.683E+18,0.959058105,-0.134599999,0.331200004,-0.69659996,,,2.664700031,-0.497899979,9.424499512,,,47,2.530100033,-0.166699976,8.727899551
1.683E+18,0.979058105,0.028199999,0.250499994,-0.366599977,,,2.648900032,-0.515299976,9.427999496,,,48,2.677100031,-0.264799982,9.061399519
1.683E+18,0.999058105,0.130899996,0.294,-0.500100017,,,2.624699831,-0.529399991,9.434000015,,,49,2.755599827,-0.235399991,8.933899999
1.683E+18,1.019058105,0.021699999,0.3204,-0.504799962,,,2.606400013,-0.536199987,9.438699722,,,50,2.628100011,-0.215799987,8.93389976
1.683E+18,1.039056396,0.250400007,0.3759,-0.422399998,,,2.583600044,-0.542599976,9.444499969,,,51,2.834000051,-0.166699976,9.022099972
1.683E+18,1.059058105,0.360499978,0.605599999,-0.349700004,,,2.561800003,-0.546799958,9.450300217,,,52,2.922299981,0.058800042,9.100600213
1.683E+18,1.079058105,0.096000001,0.672199965,-0.406800002,,,2.532099962,-0.544699967,9.458399773,,,53,2.628099963,0.127499998,9.051599771
1.683E+18,1.099058105,-0.294999987,0.672599971,-1.040599942,,,2.511299849,-0.535299957,9.464499474,,,54,2.216299862,0.137300014,8.423899531
1.683E+18,1.119058105,-0.468599975,0.625899971,-1.418099999,,,2.498600006,-0.50819999,9.469299316,,,55,2.030000031,0.117699981,8.051199317
1.683E+18,1.139056396,-0.437899977,0.380699992,-1.530399919,,,2.487400055,-0.478799999,9.473799706,,,56,2.049500078,-0.098100007,7.943399787
1.683E+18,1.159058105,-0.32099998,0.236599997,-1.543900013,,,2.478399992,-0.452299982,9.477399826,,,57,2.157400012,-0.215699986,7.933499813
1.683E+18,1.179058105,-0.252499998,0.0185,-1.707299948,,,2.458999872,-0.420599997,9.484000206,,,58,2.206499875,-0.402099997,7.776700258
1.683E+18,1.199058105,0.021399999,0.0176,-1.850799918,,,2.440000057,-0.390199989,9.490200043,,,59,2.461400056,-0.372599989,7.639400125
1.683E+18,1.219058105,0.352200001,0.178399995,-1.755199909,,,2.432800055,-0.374499977,9.492599487,,,60,2.785000056,-0.196099982,7.737399578
1.683E+18,1.239058105,0.457499981,0.117299996,-1.345299959,,,2.425499916,-0.372299999,9.494599342,,,61,2.882999897,-0.255000003,8.149299383
