time,seconds_elapsed,z,y,x,,,,z,y,x,,,t,z,y,x
1.68301E+18,0.741399658,0.0122,0.098499998,-0.154399991,,,,2.243199825,0.372099996,9.539299965,,,37,2.255399825,0.470599994,9.384899974
1.68301E+18,0.761402832,0.212399989,0.434899986,-0.238799989,,,,2.219499826,0.359400004,9.545399666,,,38,2.431899816,0.79429999,9.306599677
1.68301E+18,0.781402832,0.194499999,0.895899951,-0.155100003,,,,2.198199987,0.369100004,9.549900055,,,39,2.392699987,1.264999956,9.394800052
1.68301E+18,0.801399658,0.0504,0.875999987,0.356099993,,,,2.155999899,0.398799986,9.558300018,,,40,2.206399899,1.274799973,9.914400011
1.68301E+18,0.821399658,-0.0051,1.33829999,0.237799987,,,,2.103699923,0.426799983,9.568799973,,,41,2.098599923,1.765099972,9.80659996
1.68301E+18,0.841402832,-0.058799997,1.337499976,-0.13939999,,,,2.069200039,0.486499995,9.573399544,,,42,2.010400042,1.823999971,9.433999553
1.68301E+18,0.861399658,-0.151899993,1.048300028,-0.199599996,,,,2.04460001,0.559899986,9.574699402,,,43,1.892700016,1.608200014,9.375099406
1.68301E+18,0.881401123,-0.050899997,0.893099964,-0.209199995,,,,2.031800032,0.607299984,9.57460022,,,44,1.980900034,1.500399947,9.365400225
1.68301E+18,0.901402832,0.188899994,0.835699975,0.0394,,,,2.037099838,0.644999981,9.571000099,,,45,2.225999832,1.480699956,9.610400099
1.68301E+18,0.921402832,0.562699974,0.841499984,0.346199989,,,,2.045799971,0.658800006,9.568200111,,,46,2.608499944,1.50029999,9.914400101
1.68301E+18,0.941399658,0.907599986,0.925999999,0.562599957,,,,2.044100046,0.672399998,9.567599297,,,47,2.951700032,1.598399997,10.13019925
1.68301E+18,0.961402832,1.195500016,0.915299952,1.197199941,,,,2.030799866,0.673200011,9.570399284,,,48,3.226299882,1.588499963,10.76759923
1.68301E+18,0.981399658,1.476999998,1.363299966,1.542899966,,,,1.994399905,0.676400006,9.577799797,,,49,3.471399903,2.039699972,11.12069976
1.68301E+18,1.001399658,0.676499963,1.54279995,1.610999942,,,,1.941799998,0.683200002,9.58809948,,,50,2.618299961,2.225999951,11.19909942
1.68301E+18,1.021401123,-0.39139998,1.024099946,1.172599912,,,,1.911399961,0.672299981,9.594999313,,,51,1.519999981,1.696399927,10.76759923
1.68301E+18,1.041399658,-1.099900007,-0.0166,1.494799972,,,,1.913899899,0.644199967,9.596399307,,,52,0.813999891,0.627599968,11.09119928
1.68301E+18,1.061399658,-0.611899972,-1.077499986,3.331199884,,,,1.935799956,0.616599977,9.593799591,,,53,1.323899984,-0.460900009,12.92499948
1.68301E+18,1.081399658,0.410299987,-1.536099911,5.403100014,,,,1.903999925,0.604499996,9.600999832,,,54,2.314299911,-0.931599915,15.00409985
1.68301E+18,1.101402832,1.046199918,-1.122399926,3.597199917,,,,1.846699953,0.602699995,9.612299919,,,55,2.892899871,-0.519699931,13.20949984
1.68301E+18,1.121402832,0.92899996,-0.153300002,-0.621899962,,,,1.924600005,0.633899987,9.594999313,,,56,2.853599966,0.480599985,8.973099351
1.68301E+18,1.141399658,0.414700001,0.315499991,-2.370599985,,,,2.095700026,0.635699987,9.558899879,,,57,2.510400027,0.951199979,7.188299894
1.68301E+18,1.161401123,0.171499997,-0.032499999,-0.521699965,,,,2.270299911,0.55219996,9.524199486,,,58,2.441799909,0.519699961,9.002499521
1.68301E+18,1.181399658,0.674600005,-0.739199996,2.013599873,,,,2.345700026,0.494099975,9.50909996,,,59,3.020300031,-0.245100021,11.52269983
1.68301E+18,1.201402832,-0.614899993,-0.789399981,2.092599869,,,,2.242799997,0.593299985,9.52820015,,,60,1.627900004,-0.196099997,11.62080002
1.68301E+18,1.221402832,-1.110000014,-0.766799986,0.0038,,,,2.139699936,0.786399961,9.537899971,,,61,1.029699922,0.019599974,9.541699971
1.68301E+18,1.241401123,-0.304199994,-1.39230001,-0.380999982,,,,2.157599926,0.931400001,9.520799637,,,62,1.853399932,-0.460900009,9.139799654
1.68301E+18,1.261399658,0.621599972,-2.059499979,0.113299996,,,,2.271199942,1.000299931,9.487400055,,,63,2.892799914,-1.059200048,9.600700051
1.68301E+18,1.281399658,0.907199979,-1.859899998,0.040100001,,,,2.387699842,1.055799961,9.452699661,,,64,3.294899821,-0.804100037,9.492799662
1.68301E+18,1.301399658,0.264799982,-1.931699991,-0.284299999,,,,2.471199989,1.117799997,9.424099922,,,65,2.735999972,-0.813899994,9.139799923
1.68301E+18,1.321401123,-0.555700004,-1.512199998,-0.862899959,,,,2.517099857,1.17869997,9.404500008,,,66,1.961399853,-0.333500028,8.541600049
1.68301E+18,1.341399658,-1.217299938,-1.539699912,-1.046499968,,,,2.541199923,1.225899935,9.391900063,,,67,1.323899984,-0.313799977,8.345400095
1.68301E+18,1.361399658,-1.395099998,-1.376799941,-1.271799922,,,,2.562099934,1.25909996,9.381899834,,,68,1.166999936,-0.117699981,8.110099912
1.68301E+18,1.381401123,-1.865399957,-1.282999992,-1.491799951,,,,2.610699892,1.273199916,9.366600037,,,69,0.745299935,-0.009800076,7.874800086
1.68301E+18,1.401402832,-1.743299961,-1.098500013,-1.525299907,,,,2.665099859,1.274999976,9.350999832,,,70,0.921799898,0.176499963,7.825699925
1.68301E+18,1.421402832,-1.132799983,-0.820599973,-1.478500009,,,,2.731299877,1.261899948,9.333600044,,,71,1.598499894,0.441299975,7.855100036
1.68301E+18,1.441399658,-1.048799992,-0.61439997,-1.534099936,,,,2.784600019,1.241999984,9.32049942,,,72,1.735800028,0.627600014,7.786399484
1.68301E+18,1.461401123,-0.974099994,-0.282900006,-1.274399996,,,,2.807999849,1.224300027,9.315899849,,,73,1.833899856,0.941400021,8.041499853
1.68301E+18,1.481402832,-1.286299944,-0.112599999,-1.014799953,,,,2.796599865,1.210999966,9.321000099,,,74,1.510299921,1.098399967,8.306200147
1.68301E+18,1.501402832,-1.453299999,-0.026999999,-0.903799951,,,,2.777199984,1.203799963,9.327799797,,,75,1.323899984,1.176799964,8.423999846
1.68301E+18,1.521401123,-1.345299959,0.030599998,-1.081499934,,,,2.777099848,1.19509995,9.328899384,,,76,1.431799889,1.225699948,8.247399449
1.68301E+18,1.541399658,-1.103399992,0.047899999,-1.201399922,,,,2.80979991,1.17779994,9.321299553,,,77,1.706399918,1.225699939,8.119899631
1.68301E+18,1.561399658,-1.013800025,0.238099992,-0.891799986,,,,2.837800026,1.154299974,9.315799713,,,78,1.824000001,1.392399967,8.423999727
1.68301E+18,1.581399658,-0.975999951,0.410400003,-0.097199999,,,,2.848999977,1.129099965,9.315400124,,,79,1.873000026,1.539499968,9.218200125
1.68301E+18,1.601399658,-0.754799962,0.630999982,0.842599988,,,,2.853399992,1.104699969,9.316999435,,,80,2.09860003,1.735699952,10.15959942
1.68301E+18,1.621399658,-0.415899992,0.55430001,1.337799907,,,,2.877399921,1.083299994,9.312199593,,,81,2.461499929,1.637600005,10.6499995
1.68301E+18,1.641399658,-0.068999998,0.564199984,1.771299958,,,,2.922799826,1.063599944,9.300299644,,,82,2.853799827,1.627799928,11.0715996
1.68301E+18,1.661401123,-0.0036,0.460899979,1.843099952,,,,2.965199947,1.059100032,9.287399292,,,83,2.961599947,1.520000011,11.13049924
1.68301E+18,1.681399658,-0.169200003,0.169799998,1.535699964,,,,3.013099909,1.065799952,9.27120018,,,84,2.843899906,1.23559995,10.80690014
1.68301E+18,1.701402832,-0.114099994,-0.647300005,1.313699961,,,,3.075699806,1.08859992,9.247900009,,,85,2.961599812,0.441299915,10.56159997
1.68301E+18,1.721402832,0.620199978,-1.332199931,1.963699937,,,,3.135599852,1.106599927,9.225600243,,,86,3.75579983,-0.225600004,11.18930018
1.68301E+18,1.741401123,1.534399986,-1.144299984,2.184299946,,,,3.182499886,1.095199943,9.210899353,,,87,4.716899872,-0.049100041,11.3951993
1.68301E+18,1.761399658,2.013799906,-0.655600011,2.185400009,,,,3.232699871,1.038100004,9.200099945,,,88,5.246499777,0.382499993,11.38549995
1.68301E+18,1.781402832,1.359499931,-0.253399998,2.05979991,,,,3.259299994,0.969299972,9.198200226,,,89,4.618799925,0.715899974,11.25800014
1.68301E+18,1.801402832,0.68629998,-0.589299977,2.197399855,,,,3.246099949,0.922699988,9.20759964,,,90,3.932399929,0.333400011,11.40499949
1.68301E+18,1.821401123,1.045300007,-1.237100005,2.944599867,,,,3.200799942,0.903699994,9.225299835,,,91,4.246099949,-0.333400011,12.1698997
1.68301E+18,1.841399658,1.774199963,-1.522899985,3.304999828,,,,3.138799906,0.895299971,9.24739933,,,92,4.912999868,-0.627600014,12.55239916
1.68301E+18,1.861399658,1.674499989,-1.609399915,2.51639986,,,,3.101199865,0.88379997,9.261199951,,,93,4.775699854,-0.725599945,11.77759981
1.68301E+18,1.881401123,0.951299965,-1.66049993,1.031700015,,,,3.088899851,0.885800004,9.265199661,,,94,4.040199816,-0.774699926,10.29689968
1.68301E+18,1.901399658,0.0911,-1.732299924,-0.680700004,,,,3.095999956,0.898699999,9.261499405,,,95,3.187099956,-0.833599925,8.580799401
1.68301E+18,1.921399658,-0.986599982,-1.924199939,-1.895499945,,,,3.124500036,0.914099991,9.250499725,,,96,2.137900054,-1.010099947,7.354999781
1.68301E+18,1.941399658,-1.989799976,-2.174999952,-2.507400036,,,,3.137199879,0.929499984,9.244599342,,,97,1.147399902,-1.245499969,6.737199306
1.68301E+18,1.961401123,-2.201400042,-2.147699833,-2.482599974,,,,3.12319994,0.931599975,9.249099731,,,98,0.921799898,-1.216099858,6.766499758
1.68301E+18,1.981399658,-1.805799961,-1.735299945,-2.228499889,,,,3.100299835,0.90169996,9.259799957,,,99,1.294499874,-0.833599985,7.031300068
1.68301E+18,2.001399658,-1.059299946,-1.20539999,-1.782400012,,,,3.069700003,0.852299988,9.274700165,,,100,2.010400057,-0.353100002,7.492300153
1.68301E+18,2.021401123,-0.363299996,-0.79399997,-1.532400012,,,,3.040499926,0.79399997,9.289400101,,,101,2.67719993,0,7.757000089
1.68301E+18,2.041399658,0.0034,-0.695800006,-1.34799993,,,,3.01699996,0.744799972,9.301199913,,,102,3.02039996,0.048999965,7.953199983
1.68301E+18,2.061402832,0.0625,-0.639199972,-1.347499967,,,,2.996999979,0.707799971,9.310500145,,,103,3.059499979,0.068599999,7.963000178
1.68301E+18,2.081402832,0.0735,-0.671299994,-1.055299997,,,,2.966500044,0.681100011,9.322299957,,,104,3.040000044,0.009800017,8.26699996
1.68301E+18,2.101399658,0.043699998,-0.590799987,-1.134699941,,,,2.937399864,0.659399986,9.333000183,,,105,2.981099863,0.068599999,8.198300242
1.68301E+18,2.121399658,0.0093,-0.459999979,-1.376199961,,,,2.922799826,0.636500001,9.33920002,,,106,2.932099826,0.176500022,7.963000059
1.68301E+18,2.141402832,0.030099999,-0.212899998,-1.508599997,,,,2.911799908,0.61500001,9.344099998,,,107,2.941899907,0.402100012,7.835500002
1.68301E+18,2.161402832,-0.0048,0.0043,-1.298599958,,,,2.897699833,0.593800008,9.34980011,,,108,2.892899833,0.598100008,8.051200151
1.68301E+18,2.181399658,0.081500001,0.053099997,-0.716899991,,,,2.879999876,0.574499965,9.356499672,,,109,2.961499877,0.627599962,8.639599681
