time,seconds_elapsed,z,y,x,,,z,y,x,,t,z,y,x
1.68301E+18,0.783916748,-1.478699923,-0.014,0.087499999,,,1.615999937,0.219999999,9.670000076,,38,0.137300014,0.205999999,9.757500075
1.68301E+18,0.803916748,-0.413399994,-0.293500006,0.198299989,,,1.570599914,0.244499996,9.67689991,,39,1.157199919,-0.04900001,9.875199899
1.68301E+18,0.823923096,-0.165999994,0.407499999,-0.101799995,,,1.529199958,0.268999994,9.682899475,,40,1.363199964,0.676499993,9.58109948
1.68301E+18,0.843916748,-0.272899985,-0.172600001,0.62409997,,,1.469299912,0.260899991,9.692399979,,41,1.196399927,0.08829999,10.31649995
1.68301E+18,0.863916748,-0.194899991,-0.035299998,0.499499977,,,1.420699954,0.270700008,9.699399948,,42,1.225799963,0.23540001,10.19889992
1.68301E+18,0.883916748,-0.325800002,-0.0062,0.396499991,,,1.384899974,0.280799985,9.704299927,,43,1.059099972,0.274599985,10.10079992
1.68301E+18,0.903916748,-0.332499981,-0.110799998,0.179399997,,,1.371999979,0.297099978,9.705599785,,44,1.039499998,0.18629998,9.884999782
1.68301E+18,0.923916748,-0.195500001,-0.144699991,0.209299996,,,1.37229991,0.311399996,9.70510006,,45,1.176799908,0.166700006,9.914400056
1.68301E+18,0.943916748,-0.057,-0.080799997,0.121399999,,,1.371099949,0.326000005,9.704799652,,46,1.314099949,0.245200008,9.826199651
1.68301E+18,0.963916748,0.20099999,-0.140699998,-0.063500002,,,1.377799988,0.336799979,9.703499794,,47,1.578799978,0.196099982,9.639999792
1.68301E+18,0.983916748,0.350400001,-0.088199995,-0.276600003,,,1.394999981,0.343099982,9.700799942,,48,1.745399982,0.254899986,9.424199939
1.68301E+18,1.003916748,0.363599986,-0.067999996,-0.226699993,,,1.401499987,0.342599988,9.699899673,,49,1.765099972,0.274599992,9.47319968
1.68301E+18,1.023916748,0.478100002,0.0156,0.025699999,,,1.38499999,0.337399989,9.702400208,,50,1.863099992,0.352999989,9.728100207
