time,seconds_elapsed,z,y,x,,z,y,x,,t,z,y,x
1.68301E+18,0.781399658,-0.378899992,0.292699993,-1.595399976,,1.428200006,0.560299993,9.685799599,,38,1.049300015,0.852999985,8.090399623
1.68301E+18,0.801399658,-0.379500002,0.255699992,-1.608699918,,1.438599944,0.636599958,9.679599762,,39,1.059099942,0.89229995,8.070899844
1.68301E+18,0.821399658,0.055,-0.267800003,-1.14139998,,1.474799991,0.650200009,9.673199654,,40,1.52979999,0.382400006,8.531799674
1.68301E+18,0.841399658,0.459999979,-0.136899993,-1.084599972,,1.530599952,0.636999965,9.665399551,,41,1.99059993,0.500099972,8.58079958
1.68301E+18,0.861399658,0.131599993,-0.077699997,-1.510699987,,1.564799905,0.636699975,9.659999847,,42,1.696399897,0.558999978,8.14929986
1.68301E+18,0.881399658,-0.290399998,-0.050099999,-1.834100008,,1.565199971,0.638499975,9.659799576,,43,1.274799973,0.588399976,7.825699568
1.68301E+18,0.901399658,-1.089399934,0.0363,-1.955599904,,1.540499926,0.640199959,9.663599968,,44,0.451099992,0.676499959,7.708000064
1.68301E+18,0.921399658,-1.070500016,-0.051899999,-2.193099976,,1.531399965,0.630499959,9.665699959,,45,0.460899949,0.57859996,7.472599983
1.68301E+18,0.941399658,-0.921599984,-0.078299999,-1.975600004,,1.559000015,0.588199973,9.663999557,,46,0.637400031,0.509899974,7.688399553
1.68301E+18,0.961399658,-0.337300003,0.102699995,-1.552099943,,1.592499971,0.52489996,9.662199974,,47,1.255199969,0.627599955,8.110100031
1.68301E+18,0.981399658,-0.431799978,0.0704,-1.218199968,,1.618399978,0.449299991,9.661699295,,48,1.1866,0.519699991,8.443499327
1.68301E+18,1.001399658,-0.214900002,0.189300001,-0.757099986,,1.636899948,0.379399985,9.661600113,,49,1.421999946,0.568699986,8.904500127
1.68301E+18,1.021399658,-0.164399996,0.400700003,-0.550099969,,1.654999971,0.324900001,9.660499573,,50,1.490599975,0.725600004,9.110399604
1.68301E+18,1.041399658,-0.2667,0.477399975,-0.0014,,1.659199953,0.287400007,9.660900116,,51,1.392499954,0.764799982,9.659500116
1.68301E+18,1.061399658,-0.306299984,0.343499988,-0.2289,,1.649799943,0.274199992,9.662899971,,52,1.343499959,0.617699981,9.433999971
