time,seconds_elapsed,z,y,x,,,z,y,x,,t,z,y,x
1.68301E+18,0.036399658,1.016799927,0.0308,1.227299929,,,0.993499994,-0.0308,9.756099701,,1,2.010299921,0,10.98339963
1.68301E+18,0.056399658,1.016799927,0.0308,1.227299929,,,0.993499994,-0.0308,9.756099701,,2,2.010299921,0,10.98339963
1.68301E+18,0.076405762,1.016799927,0.0308,1.227299929,,,0.473099977,-0.160799995,9.793899536,,3,1.489899904,-0.129999995,11.02119946
1.68301E+18,0.096399658,0.017099999,-0.0058,0.35589999,,,0.474099994,-0.162699997,9.7937994,,4,0.491199993,-0.168499997,10.14969939
1.68301E+18,0.116399658,0.1241,-0.199999988,0.532499969,,,0.485499978,-0.162599996,9.793199539,,5,0.609599978,-0.362599984,10.32569951
1.68301E+18,0.136399658,0.426399976,-0.004,0.346799999,,,0.522799969,-0.158799991,9.791399956,,6,0.949199945,-0.162799991,10.13819996
1.68301E+18,0.156399658,0.438199997,0.041200001,0.142700002,,,0.590999961,-0.145699993,9.787699699,,7,1.029199958,-0.104499992,9.930399701
1.68301E+18,0.176399658,0.360199988,0.067199998,0.067900002,,,0.61649996,-0.148599997,9.786099434,,8,0.976699948,-0.0814,9.853999436
1.68301E+18,0.196399658,0.472000003,-0.0572,0.344099998,,,0.644499958,-0.144899994,9.78429985,,9,1.11649996,-0.202099994,10.12839985
1.68301E+18,0.216399658,0.424299985,0.0469,0.335999995,,,0.671000004,-0.128700003,9.782799721,,10,1.095299989,-0.081800003,10.11879972
1.68301E+18,0.236399658,0.231199995,0.128700003,0.219899997,,,0.662299991,-0.115499996,9.783499718,,11,0.893499985,0.013200007,10.00339971
1.68301E+18,0.256399658,-0.132799998,0.203699991,0.130899996,,,0.748699963,-0.065299995,9.777799606,,12,0.615899965,0.138399996,9.908699602
1.68301E+18,0.276399658,0.025899999,0.0359,0.038599998,,,0.924999952,0.0015,9.762899399,,13,0.950899951,0.0374,9.801499397
1.68301E+18,0.296401123,0.271299988,0.0964,-0.093499996,,,1.08039999,0.0211,9.746899605,,14,1.351699978,0.1175,9.653399609
1.68301E+18,0.316399658,0.547399998,0.047399998,-0.097099997,,,1.165599942,0.0118,9.737099648,,15,1.71299994,0.059199997,9.63999965
1.68301E+18,0.336399658,0.668199956,-0.0118,0.177299991,,,1.208500028,0.0066,9.731800079,,16,1.876699984,-0.0052,9.909100071
1.68301E+18,0.356399658,0.311399996,0.101099998,0.133499995,,,1.216599941,0.009099999,9.730799675,,17,1.527999938,0.110199997,9.86429967
1.68301E+18,0.376402832,-0.157499999,0.069200002,0.193399996,,,1.201499939,0.0144,9.732699394,,18,1.04399994,0.083600001,9.92609939
1.68301E+18,0.396399658,-0.309100002,0.0051,0.211099997,,,1.174499989,0.022799999,9.736000061,,19,0.865399987,0.027899998,9.947100058
1.68301E+18,0.416399658,-0.203699991,0.202600002,0.325499982,,,1.142099977,0.035,9.7397995,,20,0.938399985,0.237600002,10.06529948
1.68301E+18,0.436401123,-0.396699995,0.366999984,0.282499999,,,1.117699981,0.057099998,9.742499352,,21,0.720999986,0.424099982,10.02499935
1.68301E+18,0.456399658,-0.313600004,0.491999984,0.063999996,,,1.09589994,0.097399995,9.744699478,,22,0.782299936,0.589399979,9.808699474
1.68301E+18,0.476399658,-0.291799992,0.853799999,-0.0165,,,1.066100001,0.143700004,9.74739933,,23,0.774300009,0.997500002,9.73089933
1.68301E+18,0.496399658,0.061499998,0.356299996,-0.0682,,,1.042099953,0.173199996,9.749499321,,24,1.103599951,0.529499993,9.681299321
1.68301E+18,0.516399658,0.222800002,0.042399999,-0.129199997,,,1.003199935,0.200299993,9.753099442,,25,1.225999936,0.242699992,9.623899445
1.68301E+18,0.536399658,0.144099995,0.231099993,0.092699997,,,0.969299972,0.207599998,9.756400108,,26,1.113399968,0.438699991,9.849100105
1.68301E+18,0.556399658,0.021,0.145300001,0.501299977,,,0.936199963,0.194600001,9.759900093,,27,0.957199963,0.339900002,10.26120007
1.68301E+18,0.576401123,-0.0144,0.197599992,0.654699981,,,0.91049999,0.180199996,9.762599945,,28,0.89609999,0.377799988,10.41729993
1.68301E+18,0.596399658,-0.498599976,-0.013499999,0.750099957,,,0.939899981,0.212699994,9.75909996,,29,0.441300005,0.199199995,10.50919992
1.68301E+18,0.616399658,-0.331900001,-0.183299989,0.331799984,,,0.999199986,0.282999992,9.75150013,,30,0.667299986,0.099700004,10.08330011
1.68301E+18,0.636399658,0.452099979,-0.282999992,0.515999973,,,1.041599989,0.333900005,9.745399475,,31,1.493699968,0.050900012,10.26139945
1.68301E+18,0.656399658,-0.727699995,-0.226099998,1.179099917,,,1.097100019,0.355800003,9.738499641,,32,0.369400024,0.129700005,10.91759956
1.68301E+18,0.676399658,3.296199799,0.448299974,0.617199957,,,1.14349997,0.333999991,9.734000206,,33,4.439699769,0.782299966,10.35120016
1.68301E+18,0.696399658,0.954999983,-0.245699987,0.121599995,,,1.175300002,0.274499983,9.731999397,,34,2.130299985,0.028799996,9.853599392
1.68301E+18,0.716399658,0.736899972,-0.696099997,0.790399969,,,1.191200018,0.288599998,9.729700089,,35,1.92809999,-0.407499999,10.52010006
1.68301E+18,0.736399658,0.416999996,-0.082599998,-0.295699984,,,1.189899921,0.382999986,9.726599693,,36,1.606899917,0.300399989,9.430899709
1.68301E+18,0.756399658,-0.483799994,0.440599978,-1.743999958,,,1.188899994,0.462300003,9.72329998,,37,0.7051,0.902899981,7.979300022
1.68301E+18,0.776399658,-0.914299965,0.243599996,-1.64259994,,,1.209999919,0.48299998,9.71969986,,38,0.295699954,0.726599976,8.077099919
1.68301E+18,0.796399658,-0.837300003,0.1347,-1.354599953,,,1.236799955,0.480099976,9.716400146,,39,0.399499953,0.614799976,8.361800194
1.68301E+18,0.816399658,-0.413100004,0.284799993,-0.635499954,,,1.23269999,0.472000003,9.717399597,,40,0.819599986,0.756799996,9.081899643
1.68301E+18,0.836399658,-0.163800001,0.577199996,-0.096999995,,,1.201699972,0.480999976,9.720799446,,41,1.037899971,1.058199972,9.623799451
1.68301E+18,0.856399658,-0.505400002,0.793799996,-0.022,,,1.154399991,0.514299989,9.72480011,,42,0.648999989,1.308099985,9.70280011
1.68301E+18,0.876399658,-0.585599959,1.133099914,-0.398699999,,,1.106999993,0.52489996,9.729800224,,43,0.521400034,1.657999873,9.331100225
1.68301E+18,0.896399658,-0.62650001,0.779299974,0.194499999,,,1.079299927,0.520699978,9.733099937,,44,0.452799916,1.299999952,9.927599937
1.68301E+18,0.916399658,-0.275099993,0.793299973,0.377499998,,,1.071799994,0.531099975,9.733399391,,45,0.796700001,1.324399948,10.11089939
1.68301E+18,0.936401123,-0.375499994,0.812299967,0.171299994,,,1.0546,0.551100016,9.734099388,,46,0.679100007,1.363399982,9.905399382
1.68301E+18,0.956399658,-0.6329,0.733399987,0.150899991,,,1.032799959,0.574099958,9.735099792,,47,0.39989996,1.307499945,9.885999784
1.68301E+18,0.976399658,-0.738599956,0.808600008,0.0028,,,1.016199946,0.598800004,9.7354002,,48,0.27759999,1.407400012,9.7382002
1.68301E+18,0.996399658,-0.839699984,0.734799981,-0.026799999,,,1,0.62409997,9.735499382,,49,0.160300016,1.358899951,9.708699383
1.68301E+18,1.016399658,-0.69599998,0.640799999,-0.095599994,,,0.978699982,0.64989996,9.736000061,,50,0.282700002,1.290699959,9.640400067
