time,seconds_elapsed,z,y,x,,,,z,y,x,,,t,z,y,x
1.683E+18,0.749761719,-0.114399999,-0.801599979,0.559899986,,,,2.036499977,-1.944099903,9.393699646,,,36,1.922099978,-2.745699883,9.953599632
1.683E+18,0.769761719,-0.459499985,-0.138799995,-0.176100001,,,,2.009000063,-1.969599962,9.394399643,,,37,1.549500078,-2.108399957,9.218299642
1.683E+18,0.789761719,0.0252,0.486499995,-0.659699976,,,,2.043900013,-1.918299913,9.397399902,,,38,2.069100013,-1.431799918,8.737699926
1.683E+18,0.809763184,0.478899986,-0.114299998,0.41049999,,,,2.07069993,-1.895999908,9.396100044,,,39,2.549599916,-2.010299906,9.806600034
1.683E+18,0.829761719,0.496600002,-0.373899996,1.11619997,,,,2.082499981,-1.881500006,9.396399498,,,40,2.579099983,-2.255400002,10.51259947
1.683E+18,0.849761719,0.386099994,-0.328799993,0.806699991,,,,2.10469985,-1.828499913,9.401899338,,,41,2.490799844,-2.157299906,10.20859933
1.683E+18,0.869761719,0.116599999,-0.0065,0.627699971,,,,2.109400034,-1.75849998,9.414199829,,,42,2.226000033,-1.76499998,10.0418998
1.683E+18,0.889761719,-0.223499998,-0.259299994,0.787,,,,2.086699963,-1.692099929,9.431399345,,,43,1.863199964,-1.951399922,10.21839935
1.683E+18,0.909775635,0.029299999,-0.216099992,0.565899968,,,,2.069200039,-1.627499938,9.44659996,,,44,2.098500038,-1.84359993,10.01249993
1.683E+18,0.929763184,0.1426,0.028899999,0.50729996,,,,2.063799858,-1.578400016,9.45609951,,,45,2.206399858,-1.549500016,9.96339947
1.683E+18,0.949761719,0.301599979,0.097399995,0.729099989,,,,2.061699867,-1.558599949,9.459899902,,,46,2.363299847,-1.461199954,10.18899989
1.683E+18,0.969761719,0.281499982,-0.0276,0.860899985,,,,2.072000027,-1.570799947,9.455599785,,,47,2.353500009,-1.598399946,10.31649977
1.683E+18,0.989763184,0.112599999,0.259599984,-0.065399997,,,,2.093799829,-1.573699951,9.450300217,,,48,2.206399828,-1.314099967,9.38490022
1.683E+18,1.009761719,-0.0045,0.117199995,-0.0603,,,,2.112900019,-1.578400016,9.445300102,,,49,2.108400019,-1.461200021,9.385000102
1.683E+18,1.029761719,-0.266900003,0.263599992,-0.233699992,,,,2.120300055,-1.587499976,9.442099571,,,50,1.853400052,-1.323899984,9.208399579
1.683E+18,1.049763184,-0.342199981,0.168300003,-0.518299997,,,,2.117199898,-1.590299964,9.442299843,,,51,1.774999917,-1.421999961,8.923999846
1.683E+18,1.069763184,-0.161899999,0.085699998,-0.528499961,,,,2.103600025,-1.605700016,9.442799568,,,52,1.941700026,-1.520000018,8.914299607
1.683E+18,1.089766357,0.3759,0.118899994,-0.301299989,,,,2.085399866,-1.638899922,9.441100121,,,53,2.461299866,-1.519999929,9.139800131
1.683E+18,1.109763184,0.774699986,0.097999997,-0.0317,,,,2.069099903,-1.686699986,9.436299324,,,54,2.843799889,-1.588699989,9.404599324
1.683E+18,1.129761719,0.637799978,0.0251,-0.200199991,,,,2.068699837,-1.73149991,9.428199768,,,55,2.706499815,-1.70639991,9.227999777
1.683E+18,1.149761719,0.699699998,0.709399998,-0.243299991,,,,2.055799961,-1.778299928,9.422299385,,,56,2.755499959,-1.06889993,9.178999394
1.683E+18,1.169761719,0.810000002,0.171399996,-0.287,,,,2.05340004,-1.809099913,9.416999817,,,57,2.863400042,-1.637699917,9.129999816
1.683E+18,1.189761719,0.889499962,0.358899981,-0.224399999,,,,2.052399874,-1.829899907,9.413199425,,,58,2.941899836,-1.470999926,9.188799426
1.683E+18,1.209761719,0.8847,0.59920001,0.208799988,,,,2.047399998,-1.844699979,9.411399841,,,59,2.932099998,-1.245499969,9.620199829
1.683E+18,1.229761719,0.675399959,0.648599982,0.146499991,,,,2.031100035,-1.844999909,9.41479969,,,60,2.706499994,-1.196399927,9.561299682
1.683E+18,1.249761719,0.543799996,0.683200002,0.177499995,,,,2.005800009,-1.830500007,9.423099518,,,61,2.549600005,-1.147300005,9.600599512
1.683E+18,1.269761719,0.629700005,0.685299993,0.395999998,,,,1.988599896,-1.81309998,9.430099487,,,62,2.618299901,-1.127799988,9.826099485
1.683E+18,1.289761719,0.624799967,0.862100005,0.395199984,,,,1.964100003,-1.78399992,9.440799713,,,63,2.58889997,-0.921899915,9.835999697
