time,seconds_elapsed,z,y,x
1683015719562727200,0.16072705078125,-3.7070000171661377,6.188299655914307,-6.643199920654297
1683015719582727200,0.18072705078125,-3.755499839782715,6.121199607849121,-6.677999973297119
1683015719602727200,0.20072705078125,-3.790799856185913,6.062900066375732,-6.711099624633789
1683015719622727200,0.22072705078125,-3.8521997928619385,5.941199779510498,-6.784599781036377
1683015719642727200,0.24072705078125,-4.03849983215332,5.647799968719482,-6.92549991607666
1683015719662727200,0.26072705078125,-4.199199676513672,5.396399974822998,-7.0295000076293945
1683015719682727200,0.28072705078125,-4.123899936676025,5.412499904632568,-7.061699867248535
1683015719702727200,0.30072705078125,-3.994499921798706,5.547699928283691,-7.031099796295166
1683015719722727200,0.32072705078125,-3.8294999599456787,5.706999778747559,-6.995199680328369
1683015719742727200,0.34072705078125,-3.6223998069763184,5.858999729156494,-6.979899883270264
1683015719762727200,0.36072705078125,-3.3873000144958496,5.993000030517578,-6.9842000007629395
1683015719782727200,0.38072705078125,-3.1579999923706055,6.120100021362305,-6.981400012969971
1683015719802730500,0.40073046875,-2.940199851989746,6.262699604034424,-6.949999809265137
1683015719822729000,0.42072900390625,-2.7342000007629395,6.436100006103516,-6.87529993057251
1683015719842729000,0.44072900390625,-2.55079984664917,6.6290998458862305,-6.761399745941162
1683015719862729000,0.46072900390625,-2.375,6.8329997062683105,-6.620999813079834
1683015719882729000,0.48072900390625,-2.1963000297546387,7.049200057983398,-6.45389986038208
1683015719902729000,0.50072900390625,-2.005699872970581,7.278199672698975,-6.258999824523926
1683015719922729000,0.52072900390625,-1.8111999034881592,7.5030999183654785,-6.049099922180176
1683015719942729000,0.54072900390625,-1.6456999778747559,7.703699588775635,-5.840699672698975
1683015719962729000,0.56072900390625,-1.5577999353408813,7.878999710083008,-5.627099990844727
1683015719982729000,0.58072900390625,-1.5799999237060547,8.031499862670898,-5.400700092315674
1683015720002729000,0.60072900390625,-1.7151999473571777,8.161799430847168,-5.158699989318848
1683015720022729000,0.62072900390625,-1.9370999336242676,8.253600120544434,-4.928999900817871
1683015720042729000,0.64072900390625,-2.2196998596191406,8.285900115966797,-4.752500057220459
1683015720062729000,0.66072900390625,-2.4960999488830566,8.29010009765625,-4.6057000160217285
1683015720082729000,0.68072900390625,-2.6696999073028564,8.338600158691406,-4.416899681091309
1683015720102729000,0.70072900390625,-2.6754000186920166,8.463799476623535,-4.168299674987793
1683015720122729000,0.72072900390625,-2.5262999534606934,8.640899658203125,-3.888700008392334
1683015720142729000,0.74072900390625,-2.262199878692627,8.835100173950195,-3.6044998168945312
1683015720162729000,0.76072900390625,-1.9477999210357666,9.013400077819824,-3.336699962615967
1683015720182729000,0.78072900390625,-1.6697999238967896,9.154899597167969,-3.093400001525879
1683015720202729000,0.80072900390625,-1.4990999698638916,9.262899398803711,-2.8496999740600586
1683015720222729000,0.82072900390625,-1.430799961090088,9.347999572753906,-2.5954999923706055
1683015720242729000,0.84072900390625,-1.3914999961853027,9.410900115966797,-2.3808000087738037
1683015720262729000,0.86072900390625,-1.4804999828338623,9.456299781799316,-2.1345999240875244
1683015720282727200,0.88072705078125,-1.7374999523162842,9.463199615478516,-1.896799921989441
1683015720302729000,0.90072900390625,-1.99399995803833,9.447699546813965,-1.7130999565124512
1683015720322729000,0.92072900390625,-2.121999979019165,9.453499794006348,-1.5154999494552612
1683015720342729000,0.94072900390625,-2.1907999515533447,9.482600212097168,-1.2039999961853027
1683015720362729000,0.96072900390625,-2.289599895477295,9.500699996948242,-0.814799964427948
1683015720382729000,0.98072900390625,-2.3685998916625977,9.506799697875977,-0.42319998145103455
1683015720402729000,1.00072900390625,-2.40939998626709,9.505899429321289,-0.04479999840259552
1683015720422729000,1.02072900390625,-2.331399917602539,9.519299507141113,0.34109997749328613
1683015720442729000,1.04072900390625,-2.08489990234375,9.55639934539795,0.7059999704360962
